description,subcategories,colors,sizes,genders
"tôi cần mặc gì đó đi dự tiệc cưới","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"tôi hơi mập cần tìm gì đó phù hợp mặc để đi dự tiệc cưới","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[Trung bình,Lớn]""","""[]"""
"Đi ăn đám cưới nên mặc gì đây","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy, áo dài]""","""[]""","""[]""","""[]"""
"Nam đi ăn đám cưới mặc gì","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"tôi là nam đi ăn đám cưới không biết mặc gì","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Nữ cần chuẩn bị trang phục đi đám cưới","""[váy, áo dài, quần tây, áo sơ mi]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần mặc trang phục để tham dự buổi họp quan trọng","""[áo sơ mi, quần tây, váy]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục đi ăn tối tại nhà hàng sang trọng","""[quần tây, áo sơ mi, áo vest]""","""[ ]""","""[]""","""[Nam]"""
"Trang phục lịch sự để đi gặp mặt gia đình người yêu","""[quần tây, áo polo, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Con gái cần trang phục đẹp cho buổi lễ tốt nghiệp","""[váy, quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nữ]"""
"Trang phục để dự buổi hòa nhạc ngoài trời","""[quần jean, quần dài, áo thun, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Tôi cần một bộ đồ cho buổi chụp ảnh cưới của bạn thân","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Tôi cần trang phục đi dự hội nghị","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Tôi sẽ đi dự tiệc cưới vào cuối tuần","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Tôi sẽ đi chụp ảnh kỷ yếu với bạn bè","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Tôi sẽ đi chụp ảnh kỷ yếu với bạn bè. Và tôi có thân hình ngoại cỡ, nói chung là rất mập","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[]"""

==========================Chơi==================================================================
"Tôi đi chơi nên mặc gì đây","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Tôi là nữ nên mặc gì đi chơi đây","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[]""","""[]""","""[Nữ]"""
"Mùa hè nóng quá không biết đi chơi nên mặc gì","""[quần dài, quần tây, quần jean, áo thun, áo sơ mi, váy]""","""[màu lạnh]""","""[]""","""[]"""
"Tôi tính đi chơi biển vào mùa hè này bạn có thể đề xuất cho tôi nên mặc gì không","""[Quần short, áo thun, váy]""","""[màu lạnh]""","""[]""","""[]"""
"Tôi tính đi chơi biển vào mùa hè này bạn có thể đề xuất cho tôi nên mặc gì không. Tôi là người hơi đô con đấy","""[Quần short, áo thun, váy]""","""[màu lạnh]""","""[Lớn rất lớn]""","""[]"""
"Tôi tính đi chơi biển vào mùa hè bạn đề xuất cho tôi nên mặc gì đi. Tôi là người hơi nhỏ con đấy","""[Quần short, áo thun, váy]""","""[màu lạnh]""","""[Nhỏ, rất nhỏ]""","""[]"""
"Trang phục nữ để đi dạo phố","""[váy, áo thun, quần short]""","""[]""","""[]""","""[Nữ]"""
"Tôi sẽ đi dã ngoại cùng đồng nghiệp","""[quần short, áo thun, áo polo]""","""[]""","""[]""","""[]"""
"Nữ cần trang phục nhẹ nhàng cho buổi đi cà phê","""[váy, áo thun, quần dài]""","""[]""","""[]""","""[Nữ]"""
"Nam muốn đồ thoải mái để đi dạo phố","""[quần short, áo thun]""","""[]""","""[]""","""[Nam]"""
"Nam cần trang phục thoải mái để đi bộ trong công viên","""[quần short, áo thun, áo ba lỗ]""","""[]""","""[]""","""[Nam]"""
"Tôi sẽ đi gặp lại bạn bè lâu năm","""[quần jean, quần tây,áo thun, áo polo, váy]""","""[ ]""","""[]""","""[]"""
"Nữ cần trang phục thoải mái cho buổi đi chơi ngoài trời","""[váy, quần short, áo thun]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi cần đồ thoải mái để đi du lịch","""[áo thun, quần short, váy]""","""[]""","""[]""","""[]"""
"Tôi đang tìm đồ để đi chơi ngoài trời với bạn bè","""[quần short, áo thun, váy]""","""[]""","""[]""","""[]"""
"tôi là con gái muốn có đồ thoải mái để đi mua sắm","""[quần jean, quần short, áo thun, váy]""","""[ ]""","""[]""","""[Nữ]"""
"Nam muốn trang phục thoải mái cho buổi xem phim","""[quần jean, quần short, áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn trang phục gọn nhẹ cho buổi xem phim, vóc dáng hơi mập","""[quần jean, quần short, áo thun, váy]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Tôi muốn trang phục dạo biển, mình hơi gầy và thích ","""[quần short, áo thun, váy]""","""[ ]""","""[]""","""[]"""
"Nữ cần trang phục để đi du lịch biển","""[váy, áo thun, quần short]""","""[ ]""","""[]""","""[Nữ]"""
"Trang phục để đi biển mùa hè","""[quần short, áo thun, váy]""","""[Màu lạnh]""","""[]""","""[]"""
"Nữ cần đồ thoải mái cho chuyến đi chơi cuối tuần","""[váy, quần short, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục thoải mái để đi câu cá","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Nam cần trang phục thoải mái để đi câu cá. Tôi người hơi mập","""[quần short, áo thun]""","""[]""","""[Lớn, rất lớn]""","""[Nam]"""

===========================Học==========================================================
"Đi học nên mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[]""","""[]"""
"Mập quá đi học nên mặc gì đây","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[Lớn, rất lớn]""","""[]"""
"ốm quá đi học nên mặc gì đây","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[Nhỏ, rất nhỏ]""","""[]"""
"Tôi hơi gầy không biết đi học nên mặc gì đây","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[Nhỏ, rất nhỏ]""","""[]"""
"Tôi hơi mập mà chuẩn bị đi học không biết mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[Trung bình,Lớn]""","""[]"""
"Nữ đi học nên mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[]""","""[Nữ]"""
"Tôi là nữ đi học nên mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[]""","""[Nữ]"""
"Nam đi học nên mặc gì","""[quần tây, quần jean, áo sơ mi, áo polo]""","""[]""","""[]""","""[Nam]"""


"Trang phục mùa hè cho nữ","""[váy, áo ba lỗ, quần short, áo thun]""","""[Màu lạnh]""","""[]""","""[Nữ]"""
"Trang phục mùa đông cho nam","""[áo khoác, quần dài]""","""[Màu ấm, Màu tối]""","""[]""","""[Nam]"""
"Trang phục thể thao cho nữ","""[Đồ thể thao]""","""[]""","""[]""","""[Nữ]"""
"Nam muốn tìm trang phục đi hội nghị công ty","""[quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi sẽ đi dự tiệc cuối năm","""[váy, quần tây, áo sơ mi]""","""[ ]""","""[]""","""[]"""

"Trang phục thoải mái để đi dã ngoại cuối tuần","""[quần short, áo thun, áo polo,váy]""","""[]""","""[]""","""[]"""
"Trang phục thoải mái để đi dã ngoại cuối tuần. Tôi rất mập","""[quần short, áo thun, áo polo, váy]""","""[]""","""[Lớn, Rất lớn]""","""[]"""
"Trang phục thoải mái để đi dã ngoại cuối tuần. Tôi rất ốm","""[quần short, áo thun, áo polo, váy]""","""[]""","""[Nhỏ, rất nhỏ]""","""[]"""

"Nam cần đồ thoải mái để đi xem bóng đá với bạn","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi cần trang phục để đi dạ hội từ thiện","""[váy, quần tây, áo sơ mi]""","""[]""","""[]""","""[]"""
"Nam muốn có trang phục lịch sự để gặp gỡ đối tác","""[quần tây, áo sơ mi, áo vest]""","""[ ]""","""[]""","""[Nam]"""
"Trang phục cho bữa tiệc tân niên tại công ty","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Tôi cần trang phục để đi sự kiện ngoài trời vào mùa hè","""[quần short, áo thun, áo polo]""","""[Màu lạnh]""","""[]""","""[]"""
"Nữ muốn có trang phục thoải mái cho buổi dã ngoại","""[quần short, áo thun, váy]""","""[ ]""","""[]""","""[Nữ]"""
"Trang phục phù hợp cho buổi thuyết trình","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Nam cần tìm trang phục thoải mái để đi xem phim","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn tìm trang phục phù hợp để đi dạo phố","""[quần short, áo thun, váy]""","""[]""","""[]""","""[]"""
"Nữ muốn chuẩn bị trang phục cho buổi gặp gỡ đối tác","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[Nữ]"""
"Tôi cần mặc gì để đi thăm họ hàng vào cuối tuần","""[quần dài, áo thun,váy]""","""[ ]""","""[]""","""[]"""
"Nam muốn có trang phục phù hợp để tham gia lớp học yoga","""[quần short, áo ba lỗ, áo thun]""","""[]""","""[]""","""[Nam]"""
"Tôi sẽ đi chơi cùng bạn vào buổi tối","""[quần jean, quần tây, áo thun]""","""[ ]""","""[]""","""[]"""
"Nữ cần trang phục phù hợp để gặp gia đình bạn trai","""[váy, quần tây, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nữ cần trang phục để tham gia buổi họp mặt lớp","""[váy, quần tây, áo thun]""","""[ ]""","""[]""","""[Nữ]"""
"Trang phục để đi gặp mặt đối tác","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Trang phục để đi gặp mặt đối tác và trang phục phải rộng để tôi mặc","""[quần tây, áo sơ mi, váy]""","""[]""","""[Lớn, rất lớn]""","""[]"""
"Nữ cần trang phục cho buổi gặp mặt công ty","""[váy, áo sơ mi, quần tây]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục để tham gia hội nghị","""[quần tây, áo sơ mi, áo polo]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn mua đồ phù hợp để đi dã ngoại","""[quần short, áo thun, áo ba lỗ, váy]""","""[ ]""","""[]""","""[]"""
"Nam muốn tìm đồ phù hợp để đi phượt","""[quần dài, quần short, áo thun, áo khoác]""","""[]""","""[]""","""[Nam]"""
"Tôi cần trang phục đẹp cho buổi tiệc","""[quần tây, áo sơ mi, áo polo, váy]""","""[ ]""","""[]""","""[]"""
"Nam muốn trang phục lịch sự để dự tiệc","""[quần tây, áo sơ mi]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn trang phục thoải mái để đi biển","""[quần short, áo thun, áo ba lỗ, váy]""","""[]""","""[]""","""[]"""
"Tôi muốn trang phục thoải mái để đi biển và tôi hơi bị to con đấy","""[quần short, áo thun, áo ba lỗ, váy]""","""[]""","""[Lớn, rất lớn]""","""[]"""
"Nữ cần đồ cho chuyến du lịch mùa hè","""[váy, quần short, áo thun, áo ba lỗ]""","""[]""","""[]""","""[Nữ]"""
"Nam muốn trang phục cho kỳ nghỉ hè","""[quần short, áo thun, áo ba lỗ]""","""[ ]""","""[]""","""[Nam]"""
"Tôi sẽ đi họp mặt lớp vào cuối tuần","""[quần tây, áo thun, váy, áo sơ mi]""","""[ ]""","""[]""","""[]"""
"Nữ cần trang phục để gặp gỡ bạn bè lâu ngày","""[váy, quần jean, áo thun]""","""[ ]""","""[]""","""[Nữ]"""
"Nam cần trang phục thoải mái để gặp bạn","""[quần jean, áo thun, quần short]""","""[]""","""[]""","""[Nam]"""
"Tôi muốn trang phục phù hợp để đi xem phim","""[quần jean, áo thun, váy]""","""[]""","""[]""","""[]"""
"Nam cần đồ để đi xem trận bóng cùng bạn","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Nữ cần trang phục dự tiệc cưới","""[váy, áo sơ mi]""","""[ ]""","""[]""","""[Nữ]"""
"Nam cần trang phục để dự tiệc cưới","""[quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục thoải mái để dạo phố, vóc dáng của tôi hơi mập","""[quần jean, áo thun]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Nữ cần trang phục dễ thương để đi chơi, vóc dáng hơi ốm","""[váy, quần jean, áo thun]""","""[  ]""","""[]""","""[Nữ]"""
"Nam muốn trang phục giản dị cho buổi gặp mặt, mình hơi mập","""[quần jean, áo thun]""","""[ ]""","""[lớn, rất lớn]""","""[Nam]"""
"Tôi muốn mua trang phục năng động cho kỳ nghỉ, vóc dáng hơi gầy","""[quần short, áo thun, áo ba lỗ]""","""[  ]""","""[]""","""[]"""
"Tôi thích trang phục sặc sỡ để dạo phố buổi tối","""[quần jean, áo thun, váy]""","""[Màu sáng]""","""[]""","""[]"""
"Nữ muốn trang phục thoải mái để đi biển, vóc dáng hơi đầy đặn và thích sặc sỡ","""[váy, quần short, áo ba lỗ]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục thoải mái để đi dã ngoại, mình hơi ốm","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi cần đồ phù hợp để dự tiệc, thích phong cách sặc sỡ","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Nữ cần đồ dự tiệc tối, mình hơi mập và thích sặc sỡ","""[váy, áo sơ mi]""","""[]""","""[lớn, rất lớn]""","""[Nữ]"""
"Nam cần trang phục để đi tiệc cưới, thích màu sặc sỡ","""[quần tây, áo sơ mi]""","""[Màu sáng]""","""[]""","""[Nam]"""
"Nữ cần đồ thoải mái cho buổi đi dạo, mình hơi mập","""[váy, quần jean, áo thun]""","""[ ]""","""[lớn, rất lớn]""","""[Nữ]"""
"Nam cần trang phục nhẹ nhàng để đi xem phim, vóc dáng ốm","""[quần jean, áo thun]""","""[, ]""","""[]""","""[Nam]"""
"Mình thích trang phục với màu sắc nổi bật cho buổi họp lớp","""[quần jean, áo thun, váy, áo sơ mi]""","""[Màu sáng]""","""[]""","""[]"""
"Nam cần trang phục đơn giản cho buổi gặp mặt, mình hơi gầy","""[quần jean, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục thời trang để đi du lịch, vóc dáng hơi đầy đặn","""[quần short, áo thun, váy]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Nữ cần đồ thoải mái cho chuyến đi biển, thích màu sặc sỡ","""[váy, quần short, áo ba lỗ]""","""[Màu sáng]""","""[]""","""[Nữ]"""
"Nam muốn đồ năng động cho kỳ nghỉ hè, vóc dáng hơi mập","""[quần short, áo thun, áo ba lỗ]""","""[ ]""","""[lớn, rất lớn]""","""[Nam]"""
"Tôi cần trang phục để đi học, vóc dáng ốm và thích sặc sỡ","""[quần jean, áo thun, áo polo]""","""[]""","""[]""","""[]"""
"Nữ cần trang phục dự tiệc tối, vóc dáng hơi mập","""[váy, áo sơ mi]""","""[ ]""","""[lớn, rất lớn]""","""[Nữ]"""
"Tôi muốn đồ đi xem triển lãm nghệ thuật, vóc dáng hơi ốm","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[]""","""[]"""
"Nữ muốn trang phục để đi dự tiệc tối, mình mập và thích màu nổi bật","""[váy, áo sơ mi]""","""[]""","""[lớn, rất lớn]""","""[Nữ]"""
"Nam cần trang phục thoải mái để đi gặp đối tác, vóc dáng hơi mập","""[quần tây, áo sơ mi]""","""[ ]""","""[lớn, rất lớn]""","""[Nam]"""
"Mình cần đồ đi dự lễ tốt nghiệp, mình hơi mập","""[quần tây, áo sơ mi, váy]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Nữ cần trang phục để dự lễ tốt nghiệp, vóc dáng hơi đầy đặn","""[váy, quần tây, áo sơ mi]""","""[ ]""","""[lớn, rất lớn]""","""[Nữ]"""
"Nam muốn đồ để chụp ảnh ngoài trời, thích phong cách sặc sỡ","""[quần jean, quần short ,áo thun]""","""[Màu sáng]""","""[]""","""[Nam]"""
"Nữ muốn đồ đi du lịch, thích phong cách sặc sỡ","""[váy, quần short, áo thun]""","""[Màu sáng]""","""[]""","""[Nữ]"""
"Nam cần đồ để leo núi, vóc dáng mập","""[đồ thể thao, quần short, áo thun]""","""[]""","""[lớn, rất lớn]""","""[Nam]"""
"Tôi muốn trang phục thanh lịch để tham dự hội thảo","""[váy, quần tây, áo sơ mi]""","""[ ]""","""[]""","""[]"""
"Nữ muốn đồ năng động để chơi thể thao","""[quần short, áo thun, áo ba lỗ]""","""[  ]""","""[]""","""[Nữ]"""
"Tôi muốn đồ lịch sự cho buổi gặp mặt đầu tiên, thích phong cách nổi bật","""[quần tây, áo sơ mi, váy]""","""[Màu sáng]""","""[]""","""[]"""
"Nữ cần đồ dự hội nghị","""[váy, áo sơ mi, quần tây]""","""[ ]""","""[]""","""[Nữ]"""
"Nam muốn trang phục trang trọng cho hội nghị","""[quần tây, áo sơ mi]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục để tham gia lễ hội mùa hè","""[quần short, áo thun, váy]""","""[]""","""[]""","""[]"""
"Nữ cần đồ sặc sỡ để đi dự hội chợ","""[váy, quần short, áo thun]""","""[]""","""[]""","""[Nữ]"""
"Nam cần trang phục đơn giản để đi cắm trại","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Mình muốn trang phục nổi bật để đi dự sự kiện cuối năm","""[quần tây, áo sơ mi, váy]""","""[]""","""[]""","""[]"""
"Nữ muốn đồ trang trọng cho sự kiện cuối năm, mình hơi mập","""[váy, áo sơ mi]""","""[Màu trung tính, Màu tối]""","""[lớn, rất lớn]""","""[Nữ]"""
"Tôi muốn trang phục đơn giản cho tiệc gia đình cuối tuần","""[quần jean, áo thun, váy]""","""[  ]""","""[]""","""[]"""
"Nữ muốn đồ thoải mái để đi mua sắm cuối tuần","""[váy, quần short, áo thun]""","""[  ]""","""[]""","""[Nữ]"""
"Nam cần trang phục năng động để đi chơi bóng rổ","""[quần short, áo thun]""","""[ ]""","""[]""","""[Nam]"""
"Tôi muốn trang phục nổi bật để dự lễ khai giảng","""[quần tây, áo sơ mi, váy]""","""[Màu sáng]""","""[]""","""[]"""
"Nữ cần trang phục trang nhã để dự lễ khai giảng","""[váy, áo sơ mi, quần tây]""","""[Màu tối, màu trung tính]""","""[]""","""[Nữ]"""
"Nam cần trang phục đơn giản để dự lễ khai giảng","""[quần tây, áo sơ mi]""","""[Màu tối, màu trung tính]""","""[]""","""[Nam]"""
"Tôi muốn trang phục sặc sỡ để tham gia lễ hội âm nhạc","""[quần short, áo thun, váy]""","""[Màu sáng]""","""[]""","""[]"""
"Nữ muốn đồ dễ thương để đi xem phim","""[váy, quần jean, áo thun]""","""[  ]""","""[]""","""[Nữ]"""
"Mình muốn trang phục để đi mua sắm, vóc dáng hơi mập","""[quần jean, áo thun, váy]""","""[ ]""","""[lớn, rất lớn]""","""[]"""
"Đội bóng của tôi chuẩn bị đá banh nên mua gì đây","""[đồ thể thao]""","""[]""","""[]""","""[]"""
"Đá banh không biết mua gì mặc đây đây","""[đồ thể thao]""","""[]""","""[]""","""[]"""
"Tôi được đi đá bóng bạn có đề xuất gì cho tôi không","""[đồ thể thao]""","""[]""","""[]""","""[]"""
"Tôi là nam được trường đi đá bóng bạn có đề xuất gì cho tôi không","""[đồ thể thao]""","""[]""","""[]""","""[Nam]"""
"Tôi mấy nay ngủ cảm giác nóng trong người nên mặc gì đây","""[đồ ngủ]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi cần đồ thoáng mát để mặc ở nhà","""[Bộ quần áo thun, áo thun, quần short, áo ba lỗ]""","""[Màu lạnh]""","""[]""","""[]"""
"con trai muốn mua đồ tập để chạy bộ","""[đồ thể thao]""","""[ ]""","""[]""","""[Nam]"""
"Tôi chuẩn bị đi thi đấu bóng chuyền, mua gì đây","""[đồ thể thao]""","""[ ]""","""[]""","""[]"""
"Thời tiết dạo này nóng và tôi cần đi ra ngoài nhiều bạn tư vấn cho tôi vài bộ đi","""[Áo khoác, quần dài]""","""[Màu lạnh]""","""[]""","""[]"""
"Tôi năm nay cũng lớn tuổi rồi bạn có thể đề xuất sản phẩm nào hợp để mặc đi họp không","""[Quần tây, Áo sơ mi]""","""[Màu trung tính, Màu tối]""","""[]""","""[]"""
